customer_id,signup_date,segment,region,acquisition_channel
C0004773,2023-01-10,SMB,EMEA,referral
C0001617,2023-01-10,Mid-Market,North America,social_ads
C0003179,2023-01-10,Startup,North America,social_ads
C0007929,2023-01-11,Startup,EMEA,paid_search
C0000775,2023-01-11,SMB,North America,organic
C0005228,2023-01-11,Startup,EMEA,social_ads
C0002299,2023-01-11,Enterprise,APAC,organic
C0000647,2023-01-11,Startup,EMEA,social_ads
C0001314,2023-01-11,Mid-Market,LATAM,email
C0008633,2023-01-12,Mid-Market,North America,paid_search
C0003038,2023-01-12,Mid-Market,EMEA,referral
C0006989,2023-01-12,Startup,North America,paid_search
C0000423,2023-01-13,Mid-Market,EMEA,referral
C0007013,2023-01-13,Mid-Market,EMEA,organic
C0006042,2023-01-13,SMB,EMEA,organic
C0007176,2023-01-13,SMB,EMEA,organic
C0007203,2023-01-13,SMB,North America,social_ads
C0001323,2023-01-13,SMB,North America,paid_search
C0006128,2023-01-13,Startup,North America,paid_search
C0005424,2023-01-14,Mid-Market,EMEA,partners
C0005451,2023-01-14,Mid-Market,EMEA,organic
C0008500,2023-01-14,SMB,EMEA,paid_search
C0004775,2023-01-14,Mid-Market,North America,partners
C0004156,2023-01-15,Startup,North America,organic
C0003463,2023-01-15,SMB,North America,paid_search
C0004991,2023-01-16,SMB,APAC,organic
C0003439,2023-01-16,SMB,LATAM,referral
C0007122,2023-01-16,Mid-Market,North America,email
C0007550,2023-01-16,SMB,EMEA,social_ads
C0008923,2023-01-16,SMB,EMEA,partners
C0004281,2023-01-17,SMB,LATAM,social_ads
C0000052,2023-01-17,SMB,LATAM,referral
C0001101,2023-01-17,Startup,EMEA,email
C0008542,2023-01-17,Mid-Market,EMEA,paid_search
C0000595,2023-01-17,Startup,APAC,referral
C0005031,2023-01-17,Enterprise,North America,social_ads
C0002922,2023-01-17,Startup,LATAM,organic
C0008431,2023-01-18,SMB,North America,paid_search
C0008741,2023-01-19,SMB,EMEA,paid_search
C0006744,2023-01-19,SMB,APAC,referral
C0008077,2023-01-20,Startup,North America,paid_search
C0007575,2023-01-20,SMB,EMEA,partners
C0002384,2023-01-20,Mid-Market,North America,referral
C0008294,2023-01-20,Startup,EMEA,paid_search
C0004966,2023-01-21,SMB,North America,email
C0005922,2023-01-21,Mid-Market,APAC,organic
C0000766,2023-01-21,SMB,EMEA,referral
C0005594,2023-01-21,Mid-Market,LATAM,partners
C0007435,2023-01-22,Mid-Market,LATAM,paid_search
C0007100,2023-01-23,Mid-Market,North America,email
C0006610,2023-01-23,Startup,North America,referral
C0006013,2023-01-23,Enterprise,North America,organic
C0003377,2023-01-23,Enterprise,LATAM,paid_search
C0005625,2023-01-23,SMB,APAC,email
C0000535,2023-01-24,SMB,EMEA,partners
C0002394,2023-01-24,SMB,EMEA,social_ads
C0004838,2023-01-24,Startup,APAC,social_ads
C0002940,2023-01-25,SMB,North America,organic
C0001911,2023-01-25,Startup,North America,organic
C0008693,2023-01-26,Mid-Market,North America,email
C0002958,2023-01-26,SMB,LATAM,paid_search
C0006496,2023-01-27,Mid-Market,North America,organic
C0002719,2023-01-27,Enterprise,North America,referral
C0005305,2023-01-27,SMB,EMEA,partners
C0000395,2023-01-27,SMB,North America,organic
C0004305,2023-01-27,Mid-Market,APAC,referral
C0007062,2023-01-27,Enterprise,North America,paid_search
C0001952,2023-01-27,Mid-Market,EMEA,partners
C0006625,2023-01-28,Startup,North America,paid_search
C0003321,2023-01-28,Mid-Market,EMEA,social_ads
C0002539,2023-01-28,SMB,North America,organic
C0000841,2023-01-28,Mid-Market,LATAM,referral
C0006073,2023-01-28,Startup,EMEA,paid_search
C0003218,2023-01-29,Mid-Market,North America,social_ads
C0002023,2023-01-30,SMB,EMEA,email
C0007406,2023-01-30,Startup,LATAM,social_ads
C0000205,2023-01-31,Startup,APAC,paid_search
C0003996,2023-01-31,Startup,EMEA,social_ads
C0004222,2023-01-31,Mid-Market,APAC,organic
C0007974,2023-01-31,SMB,EMEA,paid_search
C0002115,2023-01-31,Mid-Market,APAC,referral
C0007392,2023-01-31,Mid-Market,North America,partners
C0006898,2023-01-31,Mid-Market,APAC,paid_search
C0004418,2023-01-31,Startup,EMEA,social_ads
C0006737,2023-02-01,SMB,North America,social_ads
C0005961,2023-02-01,Startup,North America,paid_search
C0000519,2023-02-01,SMB,APAC,social_ads
C0008640,2023-02-01,Mid-Market,North America,partners
C0006827,2023-02-02,Startup,LATAM,social_ads
C0005686,2023-02-02,SMB,EMEA,partners
C0003801,2023-02-03,Mid-Market,LATAM,partners
C0005662,2023-02-03,SMB,North America,social_ads
C0004816,2023-02-04,SMB,North America,email
C0002571,2023-02-04,SMB,EMEA,organic
C0008873,2023-02-04,SMB,North America,social_ads
C0001568,2023-02-04,Startup,APAC,organic
C0002052,2023-02-04,SMB,North America,social_ads
C0003071,2023-02-04,Mid-Market,North America,organic
C0002534,2023-02-05,SMB,North America,organic
C0000812,2023-02-05,SMB,North America,social_ads
C0003532,2023-02-05,SMB,APAC,referral
C0006751,2023-02-06,Startup,EMEA,paid_search
C0004792,2023-02-06,Enterprise,EMEA,partners
C0007867,2023-02-07,SMB,APAC,social_ads
C0000683,2023-02-07,Startup,APAC,email
C0006601,2023-02-07,Startup,LATAM,social_ads
C0004337,2023-02-08,SMB,North America,paid_search
C0008938,2023-02-08,Mid-Market,EMEA,referral
C0001949,2023-02-08,Startup,LATAM,social_ads
C0000826,2023-02-08,SMB,North America,paid_search
C0006411,2023-02-08,Mid-Market,EMEA,partners
C0000239,2023-02-08,SMB,EMEA,organic
C0007579,2023-02-08,Mid-Market,North America,social_ads
C0008501,2023-02-09,Mid-Market,LATAM,social_ads
C0005572,2023-02-09,Mid-Market,EMEA,social_ads
C0001929,2023-02-09,Mid-Market,EMEA,partners
C0000797,2023-02-10,Startup,APAC,paid_search
C0008481,2023-02-10,SMB,APAC,social_ads
C0004501,2023-02-10,SMB,EMEA,organic
C0001045,2023-02-11,Startup,North America,social_ads
C0004167,2023-02-11,SMB,North America,paid_search
C0007520,2023-02-11,Startup,North America,organic
C0004403,2023-02-11,SMB,EMEA,social_ads
C0005206,2023-02-11,SMB,North America,paid_search
C0007488,2023-02-11,Startup,EMEA,email
C0004450,2023-02-12,SMB,LATAM,paid_search
C0002873,2023-02-12,SMB,EMEA,organic
C0003805,2023-02-12,Startup,EMEA,referral
C0003879,2023-02-12,Mid-Market,EMEA,referral
C0006489,2023-02-13,Enterprise,North America,social_ads
C0004136,2023-02-13,Startup,North America,partners
C0006034,2023-02-13,SMB,APAC,paid_search
C0003459,2023-02-13,Mid-Market,North America,organic
C0004248,2023-02-14,Startup,North America,paid_search
C0000270,2023-02-14,Mid-Market,North America,partners
C0007273,2023-02-14,Mid-Market,APAC,paid_search
C0001894,2023-02-14,SMB,North America,social_ads
C0001902,2023-02-15,Startup,EMEA,social_ads
C0000150,2023-02-15,Mid-Market,EMEA,paid_search
C0007490,2023-02-15,SMB,North America,social_ads
C0002031,2023-02-16,Startup,EMEA,social_ads
C0008201,2023-02-16,Enterprise,EMEA,partners
C0008446,2023-02-16,Startup,North America,social_ads
C0007170,2023-02-16,SMB,EMEA,partners
C0002038,2023-02-16,Startup,North America,social_ads
C0007264,2023-02-17,Mid-Market,LATAM,paid_search
C0006426,2023-02-17,SMB,APAC,social_ads
C0000136,2023-02-17,Startup,APAC,organic
C0008577,2023-02-17,SMB,North America,organic
C0000085,2023-02-17,Enterprise,North America,paid_search
C0005103,2023-02-17,Mid-Market,EMEA,partners
C0005187,2023-02-17,Startup,EMEA,social_ads
C0008875,2023-02-17,SMB,EMEA,paid_search
C0008349,2023-02-18,Startup,North America,paid_search
C0000872,2023-02-18,Startup,EMEA,organic
C0003793,2023-02-18,Mid-Market,LATAM,referral
C0004859,2023-02-18,Mid-Market,LATAM,referral
C0001069,2023-02-18,Mid-Market,EMEA,paid_search
C0002350,2023-02-19,Startup,North America,email
C0005853,2023-02-19,SMB,EMEA,organic
C0008807,2023-02-19,SMB,North America,paid_search
C0007685,2023-02-19,Startup,APAC,social_ads
C0006641,2023-02-19,Startup,EMEA,paid_search
C0005499,2023-02-19,SMB,APAC,social_ads
C0002887,2023-02-20,SMB,North America,email
C0007500,2023-02-20,Mid-Market,North America,paid_search
C0001356,2023-02-20,Startup,North America,organic
C0008884,2023-02-21,Mid-Market,APAC,paid_search
C0001721,2023-02-21,SMB,EMEA,paid_search
C0004559,2023-02-21,SMB,EMEA,partners
C0000227,2023-02-21,Startup,North America,email
C0003699,2023-02-21,SMB,North America,organic
C0000590,2023-02-21,Startup,North America,paid_search
C0004338,2023-02-22,SMB,North America,partners
C0002557,2023-02-22,Startup,APAC,paid_search
C0002130,2023-02-22,Startup,North America,organic
C0008432,2023-02-22,Mid-Market,EMEA,paid_search
C0008474,2023-02-23,SMB,EMEA,referral
C0006274,2023-02-23,SMB,North America,organic
C0006648,2023-02-23,Mid-Market,EMEA,organic
C0003308,2023-02-23,SMB,LATAM,organic
C0005030,2023-02-23,SMB,North America,organic
C0005481,2023-02-23,Startup,North America,organic
C0006877,2023-02-24,Startup,North America,partners
C0008004,2023-02-24,Mid-Market,LATAM,email
C0008106,2023-02-24,Mid-Market,North America,referral
C0003333,2023-02-24,Enterprise,EMEA,organic
C0004380,2023-02-24,Mid-Market,EMEA,partners
C0002581,2023-02-24,Startup,North America,referral
C0006528,2023-02-24,SMB,EMEA,organic
C0003300,2023-02-25,Startup,North America,paid_search
C0008716,2023-02-25,Startup,North America,organic
C0007019,2023-02-25,Startup,EMEA,organic
C0003192,2023-02-25,SMB,North America,paid_search
C0007227,2023-02-25,SMB,LATAM,email
C0001318,2023-02-25,Startup,EMEA,referral
C0001205,2023-02-25,SMB,North America,organic
C0006976,2023-02-26,Enterprise,LATAM,referral
C0001743,2023-02-26,Startup,North America,paid_search
C0007018,2023-02-26,Startup,North America,organic
C0005902,2023-02-26,Startup,LATAM,social_ads
C0007758,2023-02-27,Enterprise,North America,referral
C0005895,2023-02-27,SMB,EMEA,social_ads
C0006055,2023-02-27,Enterprise,LATAM,partners
C0003862,2023-02-28,Enterprise,EMEA,partners
C0002815,2023-02-28,SMB,North America,referral
C0003394,2023-02-28,Startup,APAC,paid_search
C0006270,2023-02-28,SMB,EMEA,paid_search
C0007578,2023-02-28,SMB,North America,paid_search
C0000415,2023-03-01,Startup,APAC,partners
C0004075,2023-03-01,Mid-Market,EMEA,paid_search
C0000650,2023-03-02,Startup,EMEA,social_ads
C0007882,2023-03-02,SMB,LATAM,paid_search
C0000972,2023-03-03,Startup,EMEA,paid_search
C0004542,2023-03-03,Mid-Market,EMEA,email
C0000795,2023-03-03,Startup,North America,paid_search
C0004430,2023-03-03,Mid-Market,LATAM,email
C0007810,2023-03-04,SMB,North America,social_ads
C0005862,2023-03-04,SMB,EMEA,organic
C0005373,2023-03-04,Mid-Market,North America,partners
C0003642,2023-03-04,SMB,North America,referral
C0004257,2023-03-04,SMB,EMEA,social_ads
C0002560,2023-03-05,SMB,APAC,referral
C0001729,2023-03-05,Startup,LATAM,organic
C0004969,2023-03-05,Startup,LATAM,paid_search
C0007641,2023-03-05,SMB,EMEA,social_ads
C0000069,2023-03-05,Enterprise,EMEA,organic
C0003824,2023-03-05,SMB,LATAM,referral
C0008313,2023-03-05,Startup,North America,paid_search
C0002080,2023-03-05,Startup,LATAM,organic
C0002605,2023-03-06,SMB,North America,paid_search
C0006209,2023-03-06,Startup,APAC,social_ads
C0008977,2023-03-06,Mid-Market,APAC,referral
C0000768,2023-03-06,Mid-Market,EMEA,referral
C0004147,2023-03-06,Mid-Market,LATAM,email
C0007691,2023-03-06,SMB,LATAM,paid_search
C0005417,2023-03-06,Startup,North America,partners
C0001841,2023-03-07,SMB,APAC,organic
C0002698,2023-03-07,SMB,LATAM,referral
C0008689,2023-03-07,SMB,North America,organic
C0002018,2023-03-07,Startup,APAC,social_ads
C0008989,2023-03-07,Mid-Market,EMEA,organic
C0002321,2023-03-08,Startup,APAC,social_ads
C0004232,2023-03-08,SMB,APAC,referral
C0006211,2023-03-08,SMB,North America,organic
C0002122,2023-03-08,SMB,APAC,referral
C0003351,2023-03-09,Startup,North America,partners
C0006082,2023-03-09,Enterprise,North America,referral
C0002750,2023-03-09,Mid-Market,APAC,organic
C0006824,2023-03-10,Startup,EMEA,referral
C0007871,2023-03-10,Enterprise,APAC,partners
C0003282,2023-03-10,SMB,EMEA,email
C0002501,2023-03-10,Enterprise,LATAM,referral
C0004143,2023-03-10,Mid-Market,North America,paid_search
C0002152,2023-03-11,SMB,LATAM,paid_search
C0008184,2023-03-11,Startup,North America,paid_search
C0007389,2023-03-12,Mid-Market,LATAM,referral
C0004673,2023-03-12,Startup,North America,paid_search
C0002919,2023-03-12,Startup,EMEA,email
C0001161,2023-03-12,SMB,North America,paid_search
C0006727,2023-03-12,Startup,APAC,social_ads
C0008694,2023-03-13,Mid-Market,EMEA,referral
C0003454,2023-03-13,SMB,EMEA,organic
C0008709,2023-03-13,Enterprise,North America,organic
C0001433,2023-03-13,SMB,LATAM,social_ads
C0001660,2023-03-13,Startup,LATAM,social_ads
C0006275,2023-03-13,SMB,EMEA,referral
C0008890,2023-03-14,SMB,North America,social_ads
C0000723,2023-03-14,Mid-Market,North America,referral
C0001382,2023-03-14,Mid-Market,APAC,referral
C0006547,2023-03-14,Startup,EMEA,referral
C0006679,2023-03-14,Startup,APAC,organic
C0003934,2023-03-14,SMB,EMEA,organic
C0000485,2023-03-14,Mid-Market,North America,organic
C0000422,2023-03-15,Startup,EMEA,paid_search
C0002870,2023-03-15,Enterprise,APAC,paid_search
C0004746,2023-03-15,Mid-Market,APAC,partners
C0003372,2023-03-15,SMB,North America,paid_search
C0002276,2023-03-15,Startup,North America,social_ads
C0008321,2023-03-15,Enterprise,EMEA,paid_search
C0000633,2023-03-16,SMB,EMEA,paid_search
C0005751,2023-03-16,Enterprise,EMEA,paid_search
C0007322,2023-03-16,Enterprise,LATAM,referral
C0006181,2023-03-16,Enterprise,North America,social_ads
C0007567,2023-03-16,Startup,APAC,paid_search
C0007351,2023-03-16,Startup,LATAM,paid_search
C0003255,2023-03-17,SMB,North America,paid_search
C0005776,2023-03-17,Startup,LATAM,paid_search
C0006243,2023-03-17,Startup,North America,paid_search
C0006269,2023-03-17,SMB,APAC,paid_search
C0000164,2023-03-17,Mid-Market,LATAM,referral
C0005945,2023-03-17,SMB,LATAM,organic
C0004568,2023-03-17,Startup,North America,paid_search
C0008532,2023-03-18,SMB,EMEA,organic
C0005218,2023-03-18,Mid-Market,EMEA,organic
C0006056,2023-03-18,SMB,North America,partners
C0002229,2023-03-19,SMB,APAC,organic
C0007463,2023-03-19,Startup,APAC,paid_search
C0003353,2023-03-19,SMB,EMEA,social_ads
C0001620,2023-03-19,Mid-Market,North America,organic
C0001315,2023-03-19,SMB,APAC,organic
C0004644,2023-03-20,Enterprise,North America,paid_search
C0003886,2023-03-20,Startup,EMEA,organic
C0007862,2023-03-20,Mid-Market,APAC,partners
C0008708,2023-03-20,SMB,North America,paid_search
C0003691,2023-03-20,Startup,EMEA,social_ads
C0002097,2023-03-20,Mid-Market,North America,paid_search
C0005138,2023-03-21,Startup,EMEA,email
C0002296,2023-03-21,SMB,North America,partners
C0002118,2023-03-21,Startup,North America,social_ads
C0008720,2023-03-21,Mid-Market,North America,social_ads
C0001364,2023-03-22,Startup,North America,organic
C0005317,2023-03-22,SMB,North America,referral
C0003443,2023-03-22,Startup,North America,social_ads
C0000435,2023-03-22,Mid-Market,EMEA,organic
C0001019,2023-03-22,Startup,North America,social_ads
C0001386,2023-03-22,Mid-Market,EMEA,social_ads
C0003176,2023-03-22,Mid-Market,North America,social_ads
C0003838,2023-03-22,Mid-Market,North America,social_ads
C0002814,2023-03-22,SMB,EMEA,email
C0004441,2023-03-23,Startup,EMEA,organic
C0007208,2023-03-23,Mid-Market,EMEA,social_ads
C0004474,2023-03-23,Startup,APAC,paid_search
C0005400,2023-03-23,SMB,North America,organic
C0006506,2023-03-23,Enterprise,North America,organic
C0007654,2023-03-23,SMB,North America,referral
C0000620,2023-03-23,Mid-Market,EMEA,organic
C0000726,2023-03-24,Mid-Market,EMEA,organic
C0002567,2023-03-24,SMB,EMEA,social_ads
C0005324,2023-03-24,SMB,North America,social_ads
C0004276,2023-03-25,Enterprise,EMEA,partners
C0000125,2023-03-25,Mid-Market,North America,partners
C0005126,2023-03-25,SMB,APAC,partners
C0005886,2023-03-25,SMB,North America,organic
C0002046,2023-03-26,SMB,APAC,organic
C0000451,2023-03-26,Startup,LATAM,partners
C0005342,2023-03-26,Startup,North America,social_ads
C0002160,2023-03-26,Mid-Market,APAC,social_ads
C0001940,2023-03-26,SMB,EMEA,partners
C0005987,2023-03-27,Mid-Market,APAC,partners
C0003134,2023-03-27,SMB,LATAM,organic
C0003260,2023-03-27,SMB,LATAM,organic
C0004014,2023-03-27,Startup,North America,social_ads
C0007970,2023-03-27,Enterprise,North America,referral
C0006158,2023-03-27,Startup,EMEA,social_ads
C0002298,2023-03-27,Enterprise,North America,partners
C0006868,2023-03-28,Startup,LATAM,paid_search
C0007872,2023-03-28,Startup,LATAM,organic
C0008592,2023-03-28,Startup,North America,referral
C0000281,2023-03-28,Startup,North America,partners
C0005855,2023-03-28,Startup,North America,partners
C0006195,2023-03-29,SMB,APAC,referral
C0001261,2023-03-29,SMB,North America,organic
C0008138,2023-03-29,Startup,North America,paid_search
C0005005,2023-03-29,Startup,EMEA,paid_search
C0006761,2023-03-29,Startup,North America,social_ads
C0000028,2023-03-29,Startup,North America,organic
C0002388,2023-03-30,Startup,North America,organic
C0008095,2023-03-30,Mid-Market,EMEA,partners
C0007106,2023-03-30,SMB,APAC,paid_search
C0003595,2023-03-30,SMB,EMEA,referral
C0000555,2023-03-30,Mid-Market,North America,paid_search
C0006523,2023-03-30,Mid-Market,North America,social_ads
C0007716,2023-03-31,Startup,EMEA,paid_search
C0006476,2023-03-31,SMB,North America,referral
C0000903,2023-03-31,SMB,EMEA,organic
C0002811,2023-03-31,Mid-Market,EMEA,email
C0000176,2023-03-31,Startup,EMEA,email
C0001390,2023-03-31,Startup,North America,paid_search
C0004459,2023-03-31,Startup,North America,referral
C0005954,2023-04-01,Enterprise,APAC,social_ads
C0002840,2023-04-01,Enterprise,North America,paid_search
C0007534,2023-04-01,Mid-Market,APAC,partners
C0005930,2023-04-01,SMB,North America,social_ads
C0001926,2023-04-01,SMB,North America,paid_search
C0005033,2023-04-02,Startup,North America,paid_search
C0004682,2023-04-02,SMB,North America,paid_search
C0004803,2023-04-02,SMB,APAC,paid_search
C0005174,2023-04-03,SMB,North America,referral
C0005972,2023-04-03,SMB,EMEA,organic
C0006508,2023-04-03,Startup,EMEA,organic
C0005611,2023-04-03,Mid-Market,EMEA,paid_search
C0003096,2023-04-04,Startup,APAC,social_ads
C0003698,2023-04-04,Startup,LATAM,organic
C0002385,2023-04-04,SMB,EMEA,social_ads
C0002011,2023-04-04,SMB,LATAM,referral
C0007321,2023-04-04,Mid-Market,North America,organic
C0003306,2023-04-04,Startup,North America,social_ads
C0000763,2023-04-04,Mid-Market,APAC,organic
C0008887,2023-04-05,SMB,LATAM,organic
C0005639,2023-04-05,SMB,North America,social_ads
C0003531,2023-04-06,Enterprise,APAC,paid_search
C0007445,2023-04-06,SMB,EMEA,paid_search
C0000635,2023-04-06,Mid-Market,North America,referral
C0000759,2023-04-06,Startup,EMEA,paid_search
C0005176,2023-04-06,Enterprise,LATAM,referral
C0004541,2023-04-06,Startup,EMEA,paid_search
C0007629,2023-04-07,Startup,North America,paid_search
C0001442,2023-04-07,Startup,EMEA,social_ads
C0000287,2023-04-07,Mid-Market,EMEA,partners
C0002447,2023-04-07,Startup,EMEA,organic
C0008626,2023-04-07,Startup,LATAM,organic
C0007256,2023-04-07,Startup,EMEA,paid_search
C0000643,2023-04-07,Mid-Market,EMEA,partners
C0002774,2023-04-07,Enterprise,EMEA,referral
C0005266,2023-04-08,Startup,North America,referral
C0001206,2023-04-08,Mid-Market,EMEA,referral
C0004738,2023-04-08,Startup,EMEA,social_ads
C0000821,2023-04-09,SMB,EMEA,organic
C0000988,2023-04-09,SMB,LATAM,organic
C0002476,2023-04-09,Mid-Market,EMEA,paid_search
C0006072,2023-04-09,SMB,North America,partners
C0001669,2023-04-10,Mid-Market,North America,paid_search
C0000732,2023-04-10,Startup,APAC,social_ads
C0008350,2023-04-10,Startup,North America,paid_search
C0002493,2023-04-10,SMB,EMEA,paid_search
C0007260,2023-04-10,SMB,EMEA,organic
C0007918,2023-04-10,Startup,EMEA,paid_search
C0006534,2023-04-10,Enterprise,LATAM,partners
C0001732,2023-04-10,Startup,EMEA,paid_search
C0008602,2023-04-10,SMB,North America,paid_search
C0001486,2023-04-10,Mid-Market,North America,referral
C0001139,2023-04-11,Startup,EMEA,social_ads
C0005084,2023-04-11,Startup,APAC,social_ads
C0006372,2023-04-11,Startup,North America,paid_search
C0005207,2023-04-12,SMB,North America,organic
C0007771,2023-04-12,Mid-Market,EMEA,email
C0002362,2023-04-12,Startup,LATAM,social_ads
C0000424,2023-04-12,SMB,LATAM,paid_search
C0002060,2023-04-12,Enterprise,North America,paid_search
C0004354,2023-04-12,Mid-Market,LATAM,organic
C0000292,2023-04-12,SMB,EMEA,partners
C0003645,2023-04-12,Startup,North America,social_ads
C0001309,2023-04-13,Mid-Market,North America,organic
C0008250,2023-04-13,Startup,LATAM,organic
C0004412,2023-04-13,Mid-Market,North America,paid_search
C0005760,2023-04-14,Mid-Market,APAC,social_ads
C0004636,2023-04-14,Startup,EMEA,paid_search
C0001157,2023-04-14,Mid-Market,North America,referral
C0003680,2023-04-14,SMB,EMEA,referral
C0004942,2023-04-14,Startup,LATAM,social_ads
C0002506,2023-04-14,SMB,EMEA,social_ads
C0008947,2023-04-14,Startup,North America,social_ads
C0000273,2023-04-15,SMB,EMEA,partners
C0005700,2023-04-15,SMB,North America,referral
C0007008,2023-04-15,Mid-Market,North America,paid_search
C0005119,2023-04-15,SMB,APAC,organic
C0005185,2023-04-16,Mid-Market,EMEA,partners
C0006263,2023-04-16,Mid-Market,North America,referral
C0003414,2023-04-16,Mid-Market,North America,partners
C0007344,2023-04-16,Startup,LATAM,paid_search
C0002823,2023-04-16,Mid-Market,APAC,organic
C0001900,2023-04-17,Startup,EMEA,paid_search
C0007548,2023-04-17,Mid-Market,APAC,referral
C0003977,2023-04-17,Startup,North America,organic
C0007266,2023-04-17,Mid-Market,LATAM,social_ads
C0006988,2023-04-17,Mid-Market,North America,referral
C0000449,2023-04-17,SMB,North America,paid_search
C0005137,2023-04-18,Mid-Market,EMEA,referral
C0005465,2023-04-18,SMB,LATAM,organic
C0000271,2023-04-18,Startup,North America,paid_search
C0001726,2023-04-18,SMB,EMEA,email
C0000513,2023-04-18,Enterprise,APAC,paid_search
C0007626,2023-04-18,Startup,EMEA,organic
C0005060,2023-04-18,Mid-Market,EMEA,paid_search
C0001244,2023-04-18,Mid-Market,EMEA,social_ads
C0007995,2023-04-18,SMB,EMEA,social_ads
C0006837,2023-04-19,Startup,North America,paid_search
C0008718,2023-04-19,Startup,LATAM,referral
C0006121,2023-04-19,Startup,North America,social_ads
C0002351,2023-04-20,Mid-Market,EMEA,paid_search
C0008974,2023-04-20,Mid-Market,North America,partners
C0003660,2023-04-21,Mid-Market,North America,paid_search
C0003158,2023-04-21,Enterprise,North America,organic
C0005947,2023-04-21,Startup,APAC,paid_search
C0007723,2023-04-21,SMB,North America,social_ads
C0000429,2023-04-21,SMB,LATAM,organic
C0003138,2023-04-21,Enterprise,EMEA,organic
C0003419,2023-04-21,SMB,North America,referral
C0006990,2023-04-22,Startup,EMEA,social_ads
C0005607,2023-04-22,SMB,North America,paid_search
C0008643,2023-04-22,Startup,APAC,referral
C0002908,2023-04-22,Mid-Market,North America,organic
C0005709,2023-04-22,Mid-Market,APAC,referral
C0003185,2023-04-22,SMB,North America,referral
C0000075,2023-04-23,SMB,APAC,organic
C0000568,2023-04-23,SMB,North America,organic
C0001592,2023-04-23,Enterprise,EMEA,organic
C0003765,2023-04-23,Mid-Market,EMEA,social_ads
C0004327,2023-04-24,Enterprise,LATAM,partners
C0002259,2023-04-24,Startup,APAC,referral
C0004324,2023-04-24,Startup,APAC,email
C0007954,2023-04-24,SMB,North America,organic
C0006016,2023-04-24,Enterprise,APAC,partners
C0006692,2023-04-24,Startup,North America,paid_search
C0002194,2023-04-24,SMB,LATAM,referral
C0005629,2023-04-24,SMB,APAC,organic
C0007521,2023-04-25,Startup,North America,partners
C0007513,2023-04-25,SMB,North America,social_ads
C0006280,2023-04-25,SMB,EMEA,email
C0008241,2023-04-25,SMB,APAC,paid_search
C0001230,2023-04-25,Startup,North America,social_ads
C0007885,2023-04-26,Mid-Market,LATAM,referral
C0001394,2023-04-26,SMB,EMEA,referral
C0002925,2023-04-26,SMB,LATAM,paid_search
C0006632,2023-04-27,Mid-Market,North America,referral
C0006743,2023-04-27,Mid-Market,North America,organic
C0002987,2023-04-27,Mid-Market,North America,paid_search
C0001491,2023-04-27,SMB,EMEA,paid_search
C0000735,2023-04-27,Mid-Market,APAC,paid_search
C0002242,2023-04-27,Startup,APAC,paid_search
C0002803,2023-04-28,Enterprise,EMEA,organic
C0006784,2023-04-28,Startup,LATAM,paid_search
C0005900,2023-04-28,Startup,North America,referral
C0008395,2023-04-28,Mid-Market,APAC,referral
C0006005,2023-04-28,SMB,APAC,referral
C0003705,2023-04-28,Startup,North America,social_ads
C0003307,2023-04-29,Mid-Market,APAC,social_ads
C0003636,2023-04-29,Startup,EMEA,organic
