transaction_id,customer_id,transaction_date,revenue,cost,product_type
T000000942,C0007122,2023-02-03,2833.02,2422.11,Services
T000000932,C0004991,2023-02-03,134.92,71.38,Add-on
T000001209,C0005625,2023-02-03,599.0,307.06,Core
T000000586,C0005178,2023-02-03,198.68,147.57,Premium
T000000458,C0005183,2023-02-03,300.06,225.48,Services
T000000903,C0008500,2023-02-04,119.82,75.43,Core
T000000021,C0001158,2023-02-04,883.15,478.57,Core
T000000485,C0008715,2023-02-04,101.18,47.23,Core
T000000486,C0008715,2023-02-04,149.69,86.87,Core
T000001413,C0003321,2023-02-04,1655.65,1131.88,Core
T000001084,C0008294,2023-02-04,153.37,91.01,Core
T000001316,C0005305,2023-02-04,152.76,65.47,Core
T000001039,C0008077,2023-02-05,21.24,15.65,Add-on
T000001630,C0004418,2023-02-05,251.18,177.72,Core
T000001224,C0000535,2023-02-05,150.82,80.42,Core
T000001021,C0008741,2023-02-06,774.87,644.78,Premium
T000000884,C0005424,2023-02-06,1521.66,1163.33,Services
T000000944,C0007122,2023-02-06,196.79,98.73,Core
T000000519,C0006159,2023-02-07,253.83,126.28,Core
T000001127,C0007435,2023-02-07,189.62,107.59,Add-on
T000001478,C0006073,2023-02-07,29.56,21.06,Core
T000001633,C0006737,2023-02-07,18.87,11.99,Add-on
T000001760,C0005662,2023-02-08,333.13,228.81,Add-on
T000001266,C0006496,2023-02-08,950.75,456.28,Core
T000000585,C0005178,2023-02-08,203.65,103.33,Core
T000000256,C0001221,2023-02-08,275.5,170.71,Premium
T000001761,C0005662,2023-02-09,108.51,98.21,Services
T000000885,C0005424,2023-02-09,1038.9,885.13,Services
T000000910,C0004775,2023-02-09,353.1,192.22,Core
T000001128,C0007435,2023-02-09,608.27,336.47,Add-on
T000001565,C0007392,2023-02-09,438.41,212.02,Add-on
T000001624,C0006898,2023-02-09,1740.05,1387.52,Services
T000001641,C0005961,2023-02-09,40.96,29.06,Core
T000002082,C0004501,2023-02-10,43.38,19.55,Add-on
T000001210,C0005625,2023-02-10,74.84,34.96,Add-on
T000001235,C0004838,2023-02-10,69.96,46.82,Add-on
T000001869,C0004792,2023-02-10,189.5,161.48,Premium
T000001081,C0008294,2023-02-10,92.36,54.82,Core
T000000638,C0004773,2023-02-10,77.4,44.56,Core
T000001332,C0004305,2023-02-11,748.15,407.84,Core
T000000828,C0006042,2023-02-11,27.11,13.77,Core
T000001745,C0003801,2023-02-11,433.77,218.67,Core
T000000457,C0005183,2023-02-11,132.49,70.74,Core
T000000260,C0000741,2023-02-11,203.85,95.53,Add-on
T000000936,C0003439,2023-02-11,589.36,442.76,Premium
T000001812,C0003071,2023-02-11,282.85,175.48,Core
T000000871,C0001323,2023-02-11,72.47,46.71,Core
T000000717,C0003179,2023-02-11,75.88,53.47,Add-on
T000000882,C0005424,2023-02-11,881.64,515.43,Add-on
T000001162,C0006013,2023-02-11,4911.36,3266.16,Premium
T000002080,C0008481,2023-02-11,250.15,204.89,Premium
T000002081,C0008481,2023-02-11,400.65,337.64,Premium
T000000571,C0002585,2023-02-11,856.62,684.11,Services
T000000883,C0005424,2023-02-11,436.34,337.01,Premium
T000001160,C0006013,2023-02-12,3338.39,2789.87,Services
T000000263,C0000741,2023-02-12,127.12,59.74,Add-on
T000000310,C0004419,2023-02-12,81.23,57.04,Services
T000000943,C0007122,2023-02-12,955.77,522.02,Core
T000001055,C0002384,2023-02-13,457.19,224.37,Core
T000001498,C0004222,2023-02-13,72.71,29.61,Add-on
T000001993,C0008501,2023-02-13,1816.27,1785.35,Premium
T000001941,C0000826,2023-02-13,158.05,96.45,Core
T000000909,C0004775,2023-02-13,2566.53,1299.56,Add-on
T000001907,C0008938,2023-02-13,203.18,97.87,Core
T000000938,C0003439,2023-02-14,221.82,152.29,Services
T000002028,C0001929,2023-02-14,464.51,292.0,Core
T000001270,C0006496,2023-02-14,742.59,420.42,Core
T000002143,C0002873,2023-02-14,124.92,66.6,Core
T000001161,C0006013,2023-02-14,573.68,454.61,Services
T000001778,C0008873,2023-02-14,43.06,31.78,Add-on
T000000507,C0007766,2023-02-14,508.83,289.49,Core
T000001020,C0008741,2023-02-14,122.07,64.69,Core
T000001236,C0002940,2023-02-14,452.67,351.14,Premium
T000002232,C0000270,2023-02-14,190.07,130.26,Core
T000002264,C0007273,2023-02-14,233.05,195.79,Premium
T000002083,C0004501,2023-02-14,64.83,33.52,Core
T000001810,C0003071,2023-02-14,750.03,590.02,Services
T000001414,C0003321,2023-02-14,1992.65,1986.71,Services
T000001101,C0005922,2023-02-14,390.91,201.67,Core
T000001853,C0000812,2023-02-15,94.92,68.04,Core
T000001333,C0004305,2023-02-15,658.37,331.1,Core
T000001100,C0005922,2023-02-15,339.17,163.14,Core
T000000933,C0004991,2023-02-15,1619.58,1177.24,Services
T000001811,C0003071,2023-02-15,348.42,150.57,Add-on
T000001802,C0002052,2023-02-15,629.24,384.34,Core
T000000920,C0003463,2023-02-15,906.8,594.28,Core
T000001042,C0007575,2023-02-15,85.15,40.12,Core
T000000258,C0001221,2023-02-15,112.97,52.04,Core
T000001269,C0006496,2023-02-16,387.27,206.51,Add-on
T000001999,C0005572,2023-02-16,146.37,97.7,Add-on
T000001744,C0003801,2023-02-16,1028.7,701.46,Core
T000001372,C0001952,2023-02-16,203.09,102.37,Add-on
T000002231,C0000270,2023-02-16,184.08,121.39,Core
T000002278,C0008201,2023-02-16,293.21,154.3,Add-on
T000002280,C0008201,2023-02-16,1322.9,1047.64,Premium
T000002281,C0008201,2023-02-16,260.4,163.01,Add-on
T000000020,C0001158,2023-02-16,197.21,86.51,Add-on
T000002027,C0001929,2023-02-16,351.55,208.77,Core
T000002222,C0003459,2023-02-17,45.3,22.24,Add-on
T000000829,C0006042,2023-02-17,235.01,96.98,Add-on
T000002279,C0008201,2023-02-17,894.34,508.84,Core
T000001003,C0000595,2023-02-17,56.59,36.97,Core
T000001401,C0006625,2023-02-17,218.47,146.56,Core
T000002200,C0006489,2023-02-17,865.33,635.65,Core
T000001331,C0004305,2023-02-18,1520.5,1132.69,Premium
T000002000,C0005572,2023-02-18,470.76,303.47,Core
T000001870,C0004792,2023-02-18,6107.99,5089.46,Premium
T000000872,C0001323,2023-02-18,155.05,92.85,Core
T000002223,C0003459,2023-02-18,1108.54,822.72,Premium
T000002315,C0008577,2023-02-18,235.1,115.64,Core
T000000316,C0008015,2023-02-18,241.2,156.18,Core
T000001762,C0005662,2023-02-18,29.7,21.5,Add-on
T000000509,C0007766,2023-02-19,65.02,32.2,Add-on
T000001568,C0007392,2023-02-19,1294.14,887.02,Premium
T000001499,C0004222,2023-02-19,177.93,108.29,Core
T000001083,C0008294,2023-02-19,53.21,34.11,Core
T000001018,C0008431,2023-02-19,316.21,239.75,Services
T000000601,C0003606,2023-02-20,647.77,402.54,Premium
T000000389,C0000998,2023-02-20,1319.88,805.58,Core
T000002026,C0001929,2023-02-20,174.09,115.41,Premium
T000002460,C0002350,2023-02-20,283.36,224.19,Services
T000001631,C0004418,2023-02-20,212.36,136.88,Add-on
T000001402,C0006625,2023-02-20,100.2,63.74,Core
T000002311,C0008577,2023-02-20,177.78,102.35,Core
T000002150,C0003879,2023-02-20,1184.81,969.09,Services
T000002202,C0006489,2023-02-20,2250.05,1772.37,Core
T000001082,C0008294,2023-02-21,215.79,153.64,Core
T000000878,C0006128,2023-02-21,308.21,201.61,Core
T000002312,C0008577,2023-02-21,107.95,76.25,Premium
T000000951,C0007550,2023-02-21,87.21,72.67,Premium
T000001500,C0004222,2023-02-21,222.22,109.19,Add-on
T000002088,C0004167,2023-02-21,179.02,170.3,Services
T000001566,C0007392,2023-02-21,3267.64,2226.82,Services
T000002203,C0006489,2023-02-21,3514.9,2441.4,Core
T000000889,C0005451,2023-02-21,40.83,24.35,Core
T000001982,C0000239,2023-02-21,82.29,52.73,Core
T000002151,C0003879,2023-02-21,535.75,250.01,Core
T000000257,C0001221,2023-02-21,137.28,91.67,Premium
T000001809,C0003071,2023-02-22,175.73,85.85,Core
T000002371,C0005187,2023-02-22,89.57,63.64,Core
T000001807,C0003071,2023-02-22,264.22,180.54,Services
T000001808,C0003071,2023-02-22,199.78,109.83,Add-on
T000001099,C0005922,2023-02-22,1073.19,500.71,Core
T000001514,C0002115,2023-02-22,266.89,153.2,Add-on
T000001491,C0003996,2023-02-22,203.11,151.75,Core
T000001412,C0003321,2023-02-22,288.79,215.0,Core
T000002266,C0001902,2023-02-23,22.96,18.74,Core
T000002313,C0008577,2023-02-23,156.46,65.16,Core
T000002126,C0007488,2023-02-23,256.98,124.56,Core
T000002316,C0008577,2023-02-23,416.2,198.36,Core
T000002201,C0006489,2023-02-23,1014.29,937.88,Services
T000002378,C0003793,2023-02-23,1075.86,874.45,Services
T000001399,C0006625,2023-02-23,217.92,201.28,Services
T000000261,C0000741,2023-02-23,2860.03,2392.65,Services
T000001567,C0007392,2023-02-23,210.42,171.18,Services
T000001223,C0000535,2023-02-23,131.74,81.56,Add-on
T000000075,C0000744,2023-02-24,10689.97,7431.49,Premium
T000001992,C0007579,2023-02-24,184.68,124.34,Core
T000002379,C0003793,2023-02-24,214.74,148.24,Premium
T000000722,C0000775,2023-02-24,71.68,32.9,Add-on
T000002145,C0003805,2023-02-24,9.08,4.19,Add-on
T000000873,C0001323,2023-02-24,311.74,202.93,Core
T000002883,C0006528,2023-02-24,638.58,474.06,Premium
T000002573,C0004559,2023-02-24,113.74,57.89,Add-on
T000002720,C0008004,2023-02-24,10382.85,6960.03,Premium
T000002689,C0005481,2023-02-24,62.88,26.66,Add-on
T000001569,C0007392,2023-02-24,16565.71,8774.22,Core
T000001373,C0001952,2023-02-24,308.01,171.0,Core
T000002834,C0004380,2023-02-25,819.28,601.2,Premium
T000002577,C0000227,2023-02-25,424.48,233.62,Core
T000002662,C0006274,2023-02-25,147.91,92.89,Core
T000002939,C0007227,2023-02-25,506.85,275.87,Core
T000002833,C0004380,2023-02-25,5679.0,3347.71,Core
T000002294,C0007264,2023-02-25,177.65,103.55,Core
T000000939,C0003439,2023-02-25,203.68,102.48,Core
T000002523,C0002887,2023-02-25,72.05,36.97,Add-on
T000000570,C0002585,2023-02-25,62.11,32.71,Core
T000001458,C0000841,2023-02-25,305.87,138.79,Core
T000002504,C0007685,2023-02-25,51.77,37.89,Core
T000002941,C0001318,2023-02-25,41.49,20.75,Core
T000002581,C0003699,2023-02-26,476.91,337.23,Premium
T000002670,C0003308,2023-02-26,3175.03,2511.87,Services
T000000819,C0007013,2023-02-26,173.61,79.72,Add-on
T000000487,C0008715,2023-02-26,9.89,4.74,Core
T000002322,C0000085,2023-02-26,2019.53,1776.64,Services
T000002913,C0007019,2023-02-26,98.58,48.0,Core
T000003007,C0001743,2023-02-26,174.76,105.78,Core
T000003010,C0007018,2023-02-26,117.52,57.82,Add-on
T000001642,C0005961,2023-02-26,52.57,34.51,Core
T000000085,C0002880,2023-02-26,72.45,44.27,Core
T000000569,C0002585,2023-02-26,654.84,481.56,Services
T000001994,C0008501,2023-02-26,1399.79,1379.93,Services
T000000076,C0000744,2023-02-27,658.75,299.13,Add-on
T000000508,C0007766,2023-02-27,279.52,221.47,Premium
T000001268,C0006496,2023-02-27,686.79,370.68,Premium
T000002314,C0008577,2023-02-27,54.39,41.21,Services
T000002323,C0000085,2023-02-27,366.59,286.3,Premium
T000002290,C0007170,2023-02-27,161.36,92.45,Core
T000000255,C0001221,2023-02-27,49.76,28.5,Core
T000002373,C0008349,2023-02-27,92.2,58.66,Core
T000000937,C0003439,2023-02-27,547.17,388.58,Premium
T000002572,C0004559,2023-02-27,137.03,115.89,Premium
T000003006,C0001743,2023-02-27,50.7,34.17,Core
T000002522,C0002887,2023-02-27,423.24,218.49,Core
T000000820,C0007013,2023-02-27,110.13,64.66,Core
T000000262,C0000741,2023-02-28,126.77,55.07,Add-on
T000001400,C0006625,2023-02-28,127.58,115.77,Premium
T000002912,C0007019,2023-02-28,69.38,42.49,Core
T000003011,C0007018,2023-02-28,150.25,105.53,Services
T000000985,C0004281,2023-02-28,130.33,83.81,Core
T000003012,C0007018,2023-02-28,120.93,79.17,Core
T000001743,C0003801,2023-02-28,826.37,462.03,Core
T000003159,C0002815,2023-02-28,235.92,126.78,Core
T000003201,C0003394,2023-02-28,218.83,153.74,Premium
T000002293,C0007264,2023-02-28,1219.12,1044.11,Services
T000003204,C0006270,2023-02-28,84.79,48.73,Add-on
T000000311,C0006403,2023-02-28,136.19,84.45,Core
T000001871,C0004792,2023-02-28,1350.33,1142.5,Services
T000002488,C0005853,2023-02-28,90.38,44.91,Core
T000003158,C0002815,2023-02-28,88.94,74.75,Services
T000000822,C0007013,2023-03-01,120.12,58.23,Add-on
T000002078,C0000797,2023-03-01,59.89,37.76,Add-on
T000002721,C0008004,2023-03-01,536.47,411.81,Premium
T000000945,C0007122,2023-03-01,981.22,636.0,Premium
T000002663,C0006274,2023-03-01,100.38,43.59,Add-on
T000002774,C0003333,2023-03-01,2896.76,2273.09,Services
T000000786,C0000423,2023-03-01,227.43,121.05,Core
T000000052,C0001837,2023-03-01,925.74,783.14,Services
T000000790,C0000423,2023-03-01,270.01,98.41,Add-on
T000002224,C0003459,2023-03-01,2717.98,1769.29,Premium
T000001763,C0005662,2023-03-01,99.78,74.8,Core
T000002626,C0008474,2023-03-01,73.16,39.43,Core
T000000877,C0001323,2023-03-02,974.69,851.74,Services
T000000510,C0007766,2023-03-02,379.7,186.97,Add-on
T000000890,C0005451,2023-03-02,133.39,74.31,Core
T000000573,C0002585,2023-03-02,502.98,282.36,Core
T000000891,C0005451,2023-03-02,1357.56,657.07,Core
T000000001,C0006120,2023-03-02,110.84,72.02,Core
T000001697,C0005686,2023-03-03,494.68,294.05,Core
T000001995,C0008501,2023-03-03,2127.84,1793.23,Premium
T000000787,C0000423,2023-03-03,166.82,75.68,Add-on
T000000923,C0003463,2023-03-03,126.91,81.91,Add-on
T000000187,C0004642,2023-03-03,41.81,25.58,Core
T000001237,C0002940,2023-03-03,218.84,106.37,Core
T000002268,C0007490,2023-03-03,25.17,20.84,Add-on
T000002291,C0002038,2023-03-04,62.72,56.68,Premium
T000000830,C0006042,2023-03-04,104.15,52.61,Add-on
T000003233,C0004075,2023-03-04,430.1,267.1,Add-on
T000003213,C0007578,2023-03-04,175.57,106.38,Add-on
T000000922,C0003463,2023-03-04,55.56,31.38,Core
T000000167,C0003453,2023-03-04,133.22,58.72,Add-on
T000002612,C0002130,2023-03-04,32.76,13.8,Add-on
T000000344,C0008959,2023-03-04,177.54,103.34,Premium
T000002087,C0001045,2023-03-05,24.93,20.6,Core
T000002674,C0005030,2023-03-05,1175.6,878.35,Services
T000000940,C0003439,2023-03-05,198.83,122.17,Premium
T000001655,C0000519,2023-03-05,663.78,550.19,Premium
T000001634,C0006737,2023-03-05,28.3,18.11,Add-on
T000000574,C0002585,2023-03-05,1857.41,1068.72,Add-on
T000000521,C0003207,2023-03-06,78.96,80.68,Services
T000000821,C0007013,2023-03-06,192.95,88.3,Core
T000002144,C0002873,2023-03-06,271.9,196.06,Premium
T000000893,C0005451,2023-03-06,810.18,439.13,Core
T000000107,C0007031,2023-03-06,586.5,392.54,Core
T000001865,C0006751,2023-03-07,163.49,118.67,Core
T000000680,C0001617,2023-03-07,861.67,624.53,Core
T000003065,C0006055,2023-03-07,783.34,463.32,Core
T000002665,C0006648,2023-03-07,294.52,175.6,Premium
T000002740,C0008106,2023-03-07,856.93,466.9,Core
T000001102,C0005922,2023-03-07,644.73,374.17,Core
T000001814,C0003071,2023-03-08,831.29,414.26,Core
T000000739,C0002299,2023-03-08,626.48,459.97,Services
T000000640,C0004773,2023-03-08,596.4,469.37,Services
T000001986,C0000239,2023-03-08,224.38,159.43,Premium
T000001103,C0005922,2023-03-08,876.58,552.81,Core
T000003066,C0006055,2023-03-08,1917.77,1364.53,Premium
T000001291,C0002719,2023-03-08,335.16,188.86,Add-on
T000001764,C0005662,2023-03-08,133.43,81.89,Core
T000002076,C0000797,2023-03-08,516.96,440.7,Core
T000001125,C0005594,2023-03-09,101.41,60.69,Core
T000000946,C0007122,2023-03-09,85.12,50.07,Add-on
T000002690,C0005481,2023-03-09,41.44,23.11,Core
T000000264,C0000741,2023-03-09,2380.84,1836.35,Services
T000001374,C0001952,2023-03-09,96.74,49.96,Add-on
T000000949,C0007122,2023-03-09,82.53,43.63,Core
T000000121,C0005540,2023-03-09,2423.85,1348.86,Core
T000003577,C0006082,2023-03-09,2650.07,2053.18,Premium
T000000122,C0005540,2023-03-09,307.54,242.09,Services
T000002548,C0008884,2023-03-09,401.96,248.81,Core
T000000948,C0007122,2023-03-09,208.09,110.8,Add-on
T000001019,C0008431,2023-03-09,103.96,69.36,Add-on
T000003528,C0002122,2023-03-09,197.47,142.21,Services
T000000789,C0000423,2023-03-10,114.34,62.38,Core
T000003349,C0006209,2023-03-10,359.08,250.85,Core
T000003500,C0008989,2023-03-10,13913.72,8954.78,Premium
T000002578,C0000227,2023-03-10,90.27,49.51,Core
T000002001,C0005572,2023-03-11,597.03,446.44,Core
T000003699,C0003282,2023-03-11,41.32,24.39,Core
T000000914,C0004775,2023-03-11,151.15,85.58,Add-on
T000001983,C0000239,2023-03-11,266.87,128.82,Core
T000003739,C0008184,2023-03-11,55.38,28.41,Core
T000000921,C0003463,2023-03-12,328.92,319.9,Services
T000002739,C0008106,2023-03-12,2179.9,1584.2,Services
T000002030,C0001929,2023-03-12,416.79,207.9,Add-on
T000001425,C0002539,2023-03-12,224.94,88.3,Add-on
T000000596,C0000811,2023-03-12,31.91,18.82,Add-on
T000003234,C0000650,2023-03-12,162.03,130.88,Services
T000003823,C0001161,2023-03-12,125.07,78.64,Core
T000003035,C0007758,2023-03-12,739.11,585.15,Premium
T000002776,C0003333,2023-03-13,823.39,477.79,Core
T000002666,C0006648,2023-03-13,277.93,129.27,Core
T000001023,C0006744,2023-03-13,13.4,5.67,Add-on
T000000597,C0000811,2023-03-13,280.08,190.89,Core
T000000522,C0003207,2023-03-13,12.29,10.98,Core
T000000639,C0004773,2023-03-13,435.19,252.71,Core
T000001746,C0003801,2023-03-13,540.03,294.06,Core
T000000572,C0002585,2023-03-13,834.99,683.85,Services
T000003913,C0001660,2023-03-14,392.92,277.85,Core
T000000188,C0004642,2023-03-14,319.8,153.85,Core
T000003512,C0002321,2023-03-14,12.72,10.85,Core
T000000782,C0006989,2023-03-14,137.42,83.87,Core
T000002489,C0005853,2023-03-14,812.27,434.44,Core
T000003581,C0002750,2023-03-14,2141.03,1620.11,Services
T000000788,C0000423,2023-03-15,175.27,96.21,Core
T000000740,C0002299,2023-03-16,521.44,296.08,Add-on
T000000904,C0008500,2023-03-16,73.97,41.71,Core
T000000776,C0008633,2023-03-16,1221.64,992.14,Premium
T000003792,C0002919,2023-03-16,485.25,270.98,Core
T000003942,C0001382,2023-03-16,99.73,48.42,Add-on
T000001126,C0005594,2023-03-16,701.44,409.88,Add-on
T000000947,C0007122,2023-03-16,999.08,536.11,Core
T000002624,C0008474,2023-03-16,118.37,49.56,Core
T000001294,C0002719,2023-03-17,1945.97,1346.71,Premium
T000003430,C0007691,2023-03-17,85.4,56.67,Core
T000003794,C0002919,2023-03-17,85.09,49.26,Core
T000002374,C0008349,2023-03-17,105.8,65.91,Core
T000001317,C0005305,2023-03-17,137.46,89.38,Core
T000001850,C0002534,2023-03-17,279.68,120.97,Add-on
T000003697,C0003282,2023-03-17,208.7,101.65,Add-on
T000002356,C0005103,2023-03-17,244.76,141.02,Core
T000004213,C0000164,2023-03-17,816.3,523.56,Premium
T000001516,C0002115,2023-03-17,941.96,622.8,Premium
T000001492,C0003996,2023-03-17,371.23,306.59,Core
T000002205,C0006489,2023-03-17,488.58,413.08,Core
