layer,dataset,column,dtype,role,owner,definition,business_use
processed,customer_metrics,revenue_per_day,float64,metric,Analytics Engineering,customer_metrics.revenue_per_day field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,segment,object,dimension,Analytics Engineering,customer_metrics.segment field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,total_cost,float64,metric,Analytics Engineering,customer_metrics.total_cost field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,total_revenue,float64,metric,Analytics Engineering,customer_metrics.total_revenue field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,transaction_count,int64,metric,Analytics Engineering,customer_metrics.transaction_count field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,unit_economics,CAC,float64,metric,Analytics Engineering,Customer acquisition cost by channel: total spend divided by customers acquired.,Channel efficiency and budget reallocation decisions.
processed,unit_economics,LTV_to_CAC,float64,metric,Analytics Engineering,Lifetime value to CAC ratio by channel.,Scaling guardrail to avoid unprofitable growth.
processed,unit_economics,acquisition_channel,object,dimension,Analytics Engineering,unit_economics.acquisition_channel field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,unit_economics,approximate_payback_period,float64,metric,Analytics Engineering,Estimated months to recover CAC using observed contribution margin.,Capital efficiency and risk prioritization.
processed,unit_economics,average_LTV,float64,metric,Analytics Engineering,unit_economics.average_LTV field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,unit_economics,customers_acquired,int64,metric,Analytics Engineering,unit_economics.customers_acquired field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,unit_economics,median_LTV,float64,metric,Analytics Engineering,unit_economics.median_LTV field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,unit_economics,total_spend,float64,metric,Analytics Engineering,unit_economics.total_spend field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,customers,acquisition_channel,object,dimension,Data Engineering,customers.acquisition_channel field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,customers,customer_id,object,identifier,Data Engineering,Unique customer identifier.,Join key across customer and transaction-level views.
raw,customers,region,object,dimension,Data Engineering,customers.region field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,customers,segment,object,dimension,Data Engineering,customers.segment field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,customers,signup_date,object,temporal,Data Engineering,customers.signup_date field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,marketing_spend,acquisition_channel,object,dimension,Data Engineering,marketing_spend.acquisition_channel field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,marketing_spend,date,object,temporal,Data Engineering,marketing_spend.date field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,marketing_spend,spend,float64,metric,Data Engineering,marketing_spend.spend field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,transactions,cost,float64,metric,Data Engineering,Direct delivery cost linked to each transaction.,Contribution margin and unit economics.
raw,transactions,customer_id,object,identifier,Data Engineering,Unique customer identifier.,Join key across customer and transaction-level views.
raw,transactions,product_type,object,dimension,Data Engineering,transactions.product_type field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,transactions,revenue,float64,metric,Data Engineering,Gross revenue booked on each transaction.,Top-line growth and mix analysis.
raw,transactions,transaction_date,object,temporal,Data Engineering,transactions.transaction_date field in raw layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
raw,transactions,transaction_id,object,identifier,Data Engineering,Unique transaction identifier.,Traceability and duplicate-control for transactional facts.
